Hourly_Folder,clip_name,resnet50,efficientnet-b2,mobilenet_v2,3models
221011_10pm,DeerSoundNo3_POI1_20221011_22_S304.2_E310.7_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo3_POI2_20221011_22_S304.2_E310.7_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo3_POI3_20221011_22_S304.2_E310.7_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo8_POI1_20221011_22_S409.9_E416.4_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo8_POI2_20221011_22_S409.9_E416.4_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo8_POI3_20221011_22_S409.9_E416.4_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo13_POI1_20221011_22_S592.0_E598.5_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo13_POI2_20221011_22_S592.0_E598.5_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo13_POI3_20221011_22_S592.0_E598.5_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo1_POI1_20221011_22_S161.89_E168.39_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo1_POI2_20221011_22_S161.89_E168.39_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo1_POI3_20221011_22_S161.89_E168.39_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo2_POI1_20221011_22_S172.08_E178.58_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo2_POI2_20221011_22_S172.08_E178.58_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo2_POI3_20221011_22_S172.08_E178.58_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo4_POI1_20221011_22_S346.39_E352.89_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo4_POI2_20221011_22_S346.39_E352.89_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo4_POI3_20221011_22_S346.39_E352.89_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo5_POI1_20221011_22_S349.76_E356.26_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo5_POI2_20221011_22_S349.76_E356.26_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo5_POI3_20221011_22_S349.76_E356.26_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo6_POI1_20221011_22_S354.06_E360.56_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo6_POI2_20221011_22_S354.06_E360.56_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo6_POI3_20221011_22_S354.06_E360.56_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo7_POI1_20221011_22_S378.09_E384.59_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo7_POI2_20221011_22_S378.09_E384.59_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo7_POI3_20221011_22_S378.09_E384.59_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo9_POI1_20221011_22_S464.13_E470.63_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo9_POI2_20221011_22_S464.13_E470.63_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo9_POI3_20221011_22_S464.13_E470.63_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo10_POI1_20221011_22_S484.38_E490.88_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo10_POI2_20221011_22_S484.38_E490.88_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo10_POI3_20221011_22_S484.38_E490.88_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo11_POI1_20221011_22_S540.34_E546.84_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo11_POI2_20221011_22_S540.34_E546.84_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo11_POI3_20221011_22_S540.34_E546.84_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo12_POI1_20221011_22_S559.79_E566.29_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo12_POI2_20221011_22_S559.79_E566.29_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo12_POI3_20221011_22_S559.79_E566.29_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo14_POI1_20221011_22_S745.11_E751.61_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo14_POI2_20221011_22_S745.11_E751.61_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo14_POI3_20221011_22_S745.11_E751.61_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo15_POI1_20221011_22_S780.08_E786.58_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo15_POI2_20221011_22_S780.08_E786.58_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo15_POI3_20221011_22_S780.08_E786.58_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo16_POI1_20221011_22_S887.33_E893.83_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo16_POI2_20221011_22_S887.33_E893.83_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo16_POI3_20221011_22_S887.33_E893.83_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo31_POI1_20221011_22_S1531.9_E1538.4_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo31_POI2_20221011_22_S1531.9_E1538.4_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo31_POI3_20221011_22_S1531.9_E1538.4_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo33_POI1_20221011_22_S1750.1_E1756.6_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo33_POI2_20221011_22_S1750.1_E1756.6_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo33_POI3_20221011_22_S1750.1_E1756.6_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo46_POI1_20221011_22_S2343.0_E2349.5_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo46_POI2_20221011_22_S2343.0_E2349.5_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo46_POI3_20221011_22_S2343.0_E2349.5_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo56_POI1_20221011_22_S2697.8_E2704.3_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo56_POI2_20221011_22_S2697.8_E2704.3_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo56_POI3_20221011_22_S2697.8_E2704.3_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo60_POI1_20221011_22_S2844.5_E2851.0_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo60_POI2_20221011_22_S2844.5_E2851.0_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo60_POI3_20221011_22_S2844.5_E2851.0_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo64_POI1_20221011_22_S2871.8_E2878.3_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo64_POI2_20221011_22_S2871.8_E2878.3_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo64_POI3_20221011_22_S2871.8_E2878.3_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo69_POI1_20221011_22_S3059.5_E3066.0_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo69_POI2_20221011_22_S3059.5_E3066.0_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo69_POI3_20221011_22_S3059.5_E3066.0_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo17_POI1_20221011_22_S994.88_E1001.38_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo17_POI2_20221011_22_S994.88_E1001.38_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo17_POI3_20221011_22_S994.88_E1001.38_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo19_POI1_20221011_22_S1243.13_E1249.63_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo19_POI2_20221011_22_S1243.13_E1249.63_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo19_POI3_20221011_22_S1243.13_E1249.63_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo20_POI1_20221011_22_S1252.89_E1259.39_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo20_POI2_20221011_22_S1252.89_E1259.39_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo20_POI3_20221011_22_S1252.89_E1259.39_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo21_POI1_20221011_22_S1256.95_E1263.45_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo21_POI2_20221011_22_S1256.95_E1263.45_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo21_POI3_20221011_22_S1256.95_E1263.45_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo22_POI1_20221011_22_S1262.72_E1269.22_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo22_POI2_20221011_22_S1262.72_E1269.22_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo22_POI3_20221011_22_S1262.72_E1269.22_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo23_POI1_20221011_22_S1303.36_E1309.86_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo23_POI2_20221011_22_S1303.36_E1309.86_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo23_POI3_20221011_22_S1303.36_E1309.86_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo24_POI1_20221011_22_S1331.43_E1337.93_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo24_POI2_20221011_22_S1331.43_E1337.93_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo24_POI3_20221011_22_S1331.43_E1337.93_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo25_POI1_20221011_22_S1349.89_E1356.39_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo25_POI2_20221011_22_S1349.89_E1356.39_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo25_POI3_20221011_22_S1349.89_E1356.39_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo27_POI1_20221011_22_S1364.43_E1370.93_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo27_POI2_20221011_22_S1364.43_E1370.93_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo27_POI3_20221011_22_S1364.43_E1370.93_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo28_POI1_20221011_22_S1430.91_E1437.41_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo28_POI2_20221011_22_S1430.91_E1437.41_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo28_POI3_20221011_22_S1430.91_E1437.41_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo29_POI1_20221011_22_S1501.76_E1508.26_D6.5.wav,0,1,1,1
221011_10pm,DeerSoundNo29_POI2_20221011_22_S1501.76_E1508.26_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo29_POI3_20221011_22_S1501.76_E1508.26_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo30_POI1_20221011_22_S1510.64_E1517.14_D6.5.wav,0,1,1,1
221011_10pm,DeerSoundNo30_POI2_20221011_22_S1510.64_E1517.14_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo30_POI3_20221011_22_S1510.64_E1517.14_D6.5.wav,0,1,1,1
221011_10pm,DeerSoundNo32_POI1_20221011_22_S1666.11_E1672.61_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo32_POI2_20221011_22_S1666.11_E1672.61_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo32_POI3_20221011_22_S1666.11_E1672.61_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo34_POI1_20221011_22_S1754.47_E1760.97_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo34_POI2_20221011_22_S1754.47_E1760.97_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo34_POI3_20221011_22_S1754.47_E1760.97_D6.5.wav,0,0,0,0
